degree,name,sound_type,energy,ecosystem,season,family,lat,lon
285,Elephant Seal bull (rare visitor),gargling machine-gun belch,8,haul-out,rare,Phocidae,47.623,-122.315
286,Stellar Storm Petrel colony,midnight chattering colony,6,offshore island,summer,Hydrobatidae,47.606,-122.332
287,Brandt's Cormorant colony,guttural croaking roar,7,rocky island,summer,Phalacrocoracidae,47.606,-122.332
288,Double-crested Cormorant,guttural croaking display,6,rocky shore,summer,Phalacrocoracidae,47.606,-122.332
289,Glaucous-winged Gull colony,overlapping mew + alarm chorus,6,colony,summer,Laridae,47.252,-122.444
290,Herring Gull flock alarm,raucous overlapping screams,7,beach,winter,Laridae,47.252,-122.444
291,Western Gull colony,loud overlapping calls,7,rocky island,summer,Laridae,47.252,-122.444
292,Common Tern colony,sharp keerr colony screaming,7,sandy spit,summer,Laridae,47.606,-122.332
293,Caspian Tern,loud raspy ka-arr,6,estuary,summer,Laridae,47.606,-122.332
294,Tufted Puffin colony sounds,deep grunts + wing beat,6,rocky island,summer,Alcidae,47.623,-122.315
295,Rhinoceros Auklet colony night,burrow-entering moans,6,island,summer,Alcidae,47.606,-122.332
296,Peregrine Falcon stoop wingcut,sonic crack at speed,8,open sky,resident,Falconidae,47.658,-122.313
297,Bald Eagle aerial combat,shrieking locked-talon tumble,7,territory,resident,Accipitridae,47.658,-122.313
298,Northern Goshawk full alarm,sustained ka-ka-ka assault,7,nest defense,resident,Accipitridae,47.608,-122.297
299,Great Horned Owl territorial war,multi-night hooting battle,6,territory,winter,Strigidae,47.608,-122.297
300,Pileated Woodpecker full drum,industrial machine-gun on dead fir,7,old-growth snag,resident,Picidae,47.608,-122.297
301,Roosevelt Elk full bugle sequence,high-to-low spine-chilling scream,8,river valley,fall,Cervidae,47.608,-122.297
302,Cougar full scream sequence,escalating blood-curdling shrieks,9,forest,resident,Felidae,47.608,-122.297
303,Gray Wolf full pack howl,multi-voice rising harmonic howl,9,pack territory,winter,Canidae,47.608,-122.297
304,Grizzly Bear threat charge,full roar + ground percussion,9,surprise encounter,resident,Ursidae,48.27,-117.715
305,Black Bear tree-shaking,powerful wood-crack + huff,7,confrontation,resident,Ursidae,47.608,-122.297
306,Steller Sea Lion beach battle,roaring bull collision,8,rookery,summer,Otariidae,47.606,-122.332
307,Salmon run full river,combined splash-slap-churn wall,8,spawning river,fall,Multi-species,47.608,-122.297
308,Melvins-equivalence: Marten scream,sustained high-pitched territorial,9,old-growth,nocturnal,Mustelidae,47.001,-123.599
309,TAD-equivalent: Great Horned Owl pair at peak,two owls simultaneous full volume,9,winter territory,resident,Strigidae,47.567,-122.324
310,Mudhoney-equivalent: mixed dawn chorus Pacific storm,overlapping calls in driving rain,8,storm morning,spring,Multi-species,47.608,-122.297
311,Nirvana-equivalent: Orca greeting ceremony,full pod multi-voice convergence,9,reunion,resident,Delphinidae,47.3,-122.8
312,Soundgarden-equivalent: Puget Sound winter storm surge,full coastline impact resonance,9,outer shore,winter,Meteorology,47.658,-122.313
313,Alice in Chains-equiv: Cougar-Wolf encounter,overlapping territorial calls,9,remote old-growth,rare,Multi-species,47.557,-122.295
314,Pearl Jam-equiv: Elk herd on move full bugle,multiple bulls simultaneous bugle,8,river bottom,fall,Cervidae,47.623,-122.315
315,Post-grunge: Varied Thrush in fog,single haunting note reverb canyon,7,fog-filled canyon,winter,Turdidae,47.623,-122.315
316,Gruntruck-equiv: Steller Sea Lion bull apex roar,maximum volume territorial display,8,prime rock,summer,Otariidae,47.623,-122.315
317,Temple of Dog-equiv: Humpback-Orca same channel,whale song + orca call overlap,8,San Juan,summer,Multi-species,47.623,-122.315
318,Cascadia subduction zone proxy: deepwater current,very low infrasonic ocean floor,5,deep Pacific,geological,Geophysics,47.606,-122.332
319,Candlebox-equiv: Red-tailed Hawk scream sequence,sustained territorial scream series,7,open valley,resident,Accipitridae,47.606,-122.332
320,Gas Huffer-equiv: Raven complex vocalizing,maximum vocabulary display solo,7,open ridge,resident,Corvidae,47.651,-122.35
321,Pond-equiv: Chorus frog + owl + cricket,simultaneous multi-layer night sound,7,woodland pond,spring night,Multi-species,47.651,-122.35
322,Heavy grunge: Cascade rock avalanche,accelerating multi-ton percussion,8,cliff face,summer,Geophysics,47.651,-122.35
323,Proto-grunge: Full Puget Sound tidal bore,deep rhythmic surge against shore,8,narrow passage,tidal,Hydrology,47.623,-122.315
324,Heavy grunge: Winter storm Hoh,rain+wind+creek+canopy all layers,8,Hoh Rainforest,winter,Meteorology,47.86,-123.934
325,Heavy psyche: Salmon + bear + eagle convergence,multi-predator feast soundscape,8,spawning creek,fall,Multi-species,47.658,-122.313
326,High intensity: Douglas Fir crown in gale,sustained multi-octave moan-roar,7,exposed ridge,storm,Meteorology,47.623,-122.315
327,Grunge/post: Mt. Rainier wind above treeline,ultra-high-velocity howl,7,summit zone,storm,Meteorology,47.623,-122.315
328,Seven Year Bitch-equiv: Great Horned x2 + Coyote,night predator chorus,8,forest edge,winter,Multi-species,47.623,-122.315
329,Accused-equiv: Full Stonefly + Caddisfly hatch,mass emergence wing-buzz river,9,spring river,April,Multi-species,48.293,-122.643
330,Queensryche-equiv: Trumpeter Swan + Sandhill Crane,trumpet + bugle dual layer,8,delta,winter,Multi-species,47.61,-122.201
331,Helms Alee-equiv: Orca echolocation full sequence,click trains + calls + breach,7,narrow channel,resident,Delphinidae,47.623,-122.315
332,Botch-equiv: Woodpecker + River + Frog polyrhythm,three independent pulse streams,9,riparian old-growth,spring,Multi-species,47.252,-122.444
333,Metal-post: Pacific storm full spectrum sound,all frequency bands simultaneous,8,outer coast,winter,Meteorology,47.623,-122.315
334,Melvins sludge: Low-frequency whale + volcano combo,infrasonic dual planetary signal,9,deep Pacific,rare,Multi-species,47.001,-123.599
335,Soundgarden heavy: Hurricane-force ridge wind,sustained ultra-intensity howl,9,Cascades ridge,rare storm,Meteorology,47.658,-122.313
336,AIC metal: Gray Wolf howl + thunder crack,howl cut by lightning strike,9,high meadow,summer storm,Multi-species,47.564,-122.309
337,TAD heavy: Grizzly + Waterfall + Thunderstorm,tri-layer apex intensity,9,remote wilderness,summer storm,Multi-species,47.567,-122.324
338,Skin Yard equiv: Old-growth in windstorm,full 400-yr fir canopy roar,7,old-growth,windstorm,Meteorology,47.658,-122.313
339,Green River equiv: Snowmelt flood surge,high-energy spring flood roar,7,river canyon,spring,Hydrology,47.623,-122.315
340,Nirvana heavy: Orca breach cascade sequence,three consecutive breaches loud,9,open sound,resident,Delphinidae,46.975,-123.815
341,Pearl Jam heavy: Full elk + storm + eagle,convergent apex natural drama,8,river valley,fall storm,Multi-species,47.623,-122.315
342,Gruntruck peak: Steller Sea Lion colony storm day,roaring colony in rain and wind,8,exposed rookery,winter,Otariidae,47.623,-122.315
343,Blood Brothers equiv: Peregrine stoop + tern colony,dive-bomb through screaming colony,9,coastal cliff,summer,Multi-species,47.756,-122.341
344,Botch peak: Multi-species polyrhythmic apex,woodpecker+orca+thunder+frog,10,imagined convergence,apex,Multi-species,47.252,-122.444
345,Melvins peak sludge: Full Pacific infrasound,all low frequencies earth-ocean,9,open Pacific,extreme,Multi-species,47.001,-123.815
346,Soundgarden Superunknown-equiv: Cascades full storm,summit-to-sea storm continuum,10,full Cascade range,extreme storm,Meteorology,47.658,-122.313
347,AIC Dirt-equiv: Cougar + Wolf + Bear convergence,triple apex predator night calls,10,remote wilderness,rare,Multi-species,47.564,-122.309
348,Nirvana Nevermind-equiv: Full orca greeting pod,all SRKW pods together rare event,10,Salish Sea,rare reunion,Delphinidae,47.623,-122.315
349,Pearl Jam Ten-equiv: Elk rut + storm + dawn chorus,all layers peak fall morning,10,river valley,fall dawn,Multi-species,47.623,-122.315
350,TAD peak: Cascades full avalanche sequence,multi-slope simultaneous release,10,alpine,rare winter,Geophysics,47.567,-122.324
351,Accused peak crossover: Insect + Bird + Rain chorus,maximum biodiversity soundscape,10,rainforest,peak spring,Multi-species,48.293,-122.643
352,Botch We Are Romans-equiv: River + Percussion + Wind,geological timescale percussion,10,Snoqualmie falls,flood,Multi-species,47.252,-122.444
353,These Arms-equiv: Mixed owl chorus full night,multiple species simultaneous,9,dense forest,winter,Multi-species,47.623,-122.315
354,Blood Brothers peak: Orca breach + bird colony chaos,simultaneous detonations,10,coastal cliff,summer,Multi-species,47.756,-122.341
355,Solger peak hardcore: Stonefly emergence full river,maximum insect emergence sound,10,major river,peak spring,Multi-species,47.606,-122.332
356,Fartz peak: Pacific Wren storm-chorus maximum,ten wrens simultaneous peak song,10,wet old-growth,storm,Multi-species,47.623,-122.315
357,Bikini Kill peak riot grrrl: Orca female-led hunt,matriarch-led coordinated hunt call,10,Salish Sea,resident,Delphinidae,47.037,-122.9
358,Sleater-Kinney Dig Me Out: All species dawn chorus,maximum PNW biodiversity peak,10,Puget Sound edge,spring equinox dawn,Multi-species,47.037,-122.9
359,Unwound Leaves Turn Inside: Puget Sound in silence,one breath before the next wave,10,full Salish Sea,equinox,Multi-species,47.037,-122.9
