Flight_Number,STS_Designation,Orbiter,Launch_Date,Landing_Date,Duration,Crew_Size,Commander,Primary_Payload,Mission_Type,Notable_Events,Status
109,STS-110,Atlantis,2002-04-08,2002-04-19,"10d 19h 42m",7,Michael Bloomfield,"S0 Truss (ISS)",ISS Assembly,"Installed S0 (S-Zero) Truss — center backbone segment of ISS truss structure; first use of ISS Canadarm2 to install Shuttle payload; 4 EVAs",Complete
110,STS-111,Endeavour,2002-06-05,2002-06-19,"13d 20h 35m",7,Kenneth Cockrell,"MBS / Leonardo MPLM / Expedition 4-5 crew rotation",ISS Assembly / Crew Rotation,"Installed Mobile Base System on Canadarm2 rail; Leonardo MPLM; Expedition 4/5 crew exchange; 3 EVAs",Complete
111,STS-112,Atlantis,2002-10-07,2002-10-18,"10d 19h 58m",6,Jeffrey Ashby,"S1 Truss (ISS)",ISS Assembly,"Installed S1 truss segment (starboard side); first use of CETA cart on ISS truss; 3 EVAs",Complete
112,STS-113,Endeavour,2002-11-23,2002-12-07,"13d 18h 47m",7,James Wetherbee,"P1 Truss / Expedition 5-6 crew rotation",ISS Assembly / Crew Rotation,"Installed P1 truss segment (port side); Expedition 5/6 crew exchange; 3 EVAs; last Shuttle mission before Columbia disaster",Complete
113,STS-107,Columbia,2003-01-16,2003-02-01,"15d 22h 20m",7,Rick Husband,"SPACEHAB / FREESTAR / various microgravity experiments",Science,"Columbia disaster: orbiter broke apart during reentry over Texas; all 7 crew killed; foam strike during launch damaged wing leading edge thermal protection; Ilan Ramon first Israeli astronaut",Failed
114,STS-114,Discovery,2005-07-26,2005-08-09,"13d 21h 32m",7,Eileen Collins,"Raffaello MPLM / ISS logistics / Return to Flight",ISS Logistics / Test,"Return to Flight after Columbia disaster (29-month stand-down); tested new safety procedures; Raffaello MPLM; first spacewalk repair of Shuttle TPS tiles; foam still shed from ET",Complete
115,STS-121,Discovery,2006-07-04,2006-07-17,"12d 18h 37m",7,Steven Lindsey,"Leonardo MPLM / ISS logistics / RTF-2",ISS Logistics / Test,"Second Return-to-Flight test mission; Independence Day launch; Leonardo MPLM resupply; Thomas Reiter became first ESA long-duration ISS crew",Complete
116,STS-115,Atlantis,2006-09-09,2006-09-21,"11d 19h 06m",6,Brent Jett,"P3/P4 Truss with solar arrays (ISS)",ISS Assembly,"Resumed ISS assembly after Columbia; installed P3/P4 truss and second set of solar arrays; 3 EVAs; restored ISS to full power growth configuration",Complete
117,STS-116,Discovery,2006-12-09,2006-12-22,"12d 21h 43m",7,Mark Polansky,"P5 Truss / ISS electrical rewiring",ISS Assembly,"Installed P5 truss spacer; rewired ISS from temporary to permanent power system; Expedition crew exchange (Reiter returned/S. Williams stayed); 4 EVAs",Complete
118,STS-117,Atlantis,2007-06-08,2007-06-22,"13d 20h 12m",7,Frederick Sturckow,"S3/S4 Truss with solar arrays (ISS)",ISS Assembly,"Installed S3/S4 truss segment and third set of solar arrays; retracted P6 solar array; Expedition crew exchange; 4 EVAs",Complete
119,STS-118,Endeavour,2007-08-08,2007-08-21,"12d 17h 55m",7,Scott Kelly,"S5 Truss / ESP-3 (ISS)",ISS Assembly,"Installed S5 truss spacer; first educator-astronaut in space (Barbara Morgan — selected after Christa McAuliffe); 4 EVAs; tile damage from debris",Complete
120,STS-120,Discovery,2007-10-23,2007-11-07,"15d 02h 23m",7,Pamela Melroy,"Harmony Node 2 (ISS)",ISS Assembly,"Installed Harmony (Node 2) — enabled attachment of European and Japanese labs; second female commander; P6 solar array torn during retraction (repaired by EVA)",Complete
121,STS-122,Atlantis,2008-02-07,2008-02-20,"12d 18h 21m",7,Stephen Frick,"Columbus Laboratory (ESA) (ISS)",ISS Assembly,"Installed ESA Columbus laboratory — Europe's first permanent orbital research facility; Expedition crew exchange; 3 EVAs",Complete
122,STS-123,Endeavour,2008-03-11,2008-03-26,"15d 18h 10m",7,Dominic Gorie,"Kibo ELM-PS / Dextre SPDM (ISS)",ISS Assembly,"Installed Japanese Kibo Experiment Logistics Module (pressurized section) and Canadian Dextre robot; longest Shuttle-ISS docked mission; 5 EVAs",Complete
123,STS-124,Discovery,2008-05-31,2008-06-14,"13d 18h 13m",7,Mark Kelly,"Kibo JPM (Pressurized Module) (ISS)",ISS Assembly,"Installed Kibo Japanese Pressurized Module — largest ISS module; completed main Kibo laboratory assembly; 3 EVAs",Complete
124,STS-126,Endeavour,2008-11-14,2008-11-30,"15d 20h 29m",7,Christopher Ferguson,"Leonardo MPLM / LWAPA / ISS habitability upgrade",ISS Logistics,"Delivered equipment for expanding ISS to 6-person crew; new crew quarters water recycling galley exercise equipment; 4 EVAs; prepared ISS for Expedition expansion",Complete
125,STS-119,Discovery,2009-03-15,2009-03-28,"12d 19h 29m",7,Lee Archambault,"S6 Truss with solar arrays (ISS)",ISS Assembly,"Installed S6 truss and fourth (final) set of solar arrays — completed ISS primary power grid; station reached full power capability; 3 EVAs",Complete
126,STS-125,Atlantis,2009-05-11,2009-05-24,"12d 21h 37m",7,Scott Altman,"Hubble Space Telescope Servicing Mission 4",Hubble Servicing,"Fifth and final HST servicing; installed WFC3 and COS instruments; repaired STIS and ACS; new batteries gyros and thermal blankets; 5 EVAs; extended Hubble life through 2030s+",Complete
127,STS-127,Endeavour,2009-07-15,2009-07-31,"15d 16h 44m",7,Mark Polansky,"Kibo JEF (Exposed Facility) / ELM-ES (ISS)",ISS Assembly,"Installed Japanese Exposed Facility and Experiment Logistics Module (exposed section) on Kibo; completed Kibo assembly; 5 EVAs; 13-person ISS crew (largest ever)",Complete
128,STS-128,Discovery,2009-08-28,2009-09-11,"13d 20h 54m",7,Frederick Sturckow,"Leonardo MPLM / MARES / COLBERT treadmill",ISS Logistics,"Delivered science racks and supplies via Leonardo MPLM; COLBERT treadmill; MARES muscle research facility; Expedition crew exchange; 3 EVAs",Complete
129,STS-129,Atlantis,2009-11-16,2009-11-27,"10d 19h 16m",6,Charles Hobaugh,"ELC-1 / ELC-2 (ExPRESS Logistics Carriers)",ISS Logistics,"Delivered two ExPRESS Logistics Carriers with spare parts for ISS (pumps gyros tanks); 3 EVAs pre-positioning spares for post-Shuttle era",Complete
130,STS-130,Endeavour,2010-02-08,2010-02-21,"13d 18h 07m",6,George Zamka,"Tranquility Node 3 / Cupola (ISS)",ISS Assembly,"Installed Tranquility (Node 3) and Cupola observation dome — iconic 7-window Earth-viewing module; 3 EVAs",Complete
131,STS-131,Discovery,2010-04-05,2010-04-20,"15d 02h 47m",7,Alan Poindexter,"Leonardo MPLM / resupply (ISS)",ISS Logistics,"Multi-Purpose Logistics Module Leonardo resupply with 8 racks of science and provisions; 3 EVAs; replaced ammonia tank assembly",Complete
132,STS-132,Atlantis,2010-05-14,2010-05-26,"11d 18h 28m",6,Kenneth Ham,"Rassvet MRM-1 / ICC-VLD (ISS)",ISS Assembly,"Delivered and installed Russian Mini-Research Module Rassvet (MRM-1); also carried Integrated Cargo Carrier; 3 EVAs; last planned Atlantis mission (later extended by STS-135)",Complete
133,STS-133,Discovery,2011-02-24,2011-03-09,"12d 19h 03m",6,Steven Lindsey,"Leonardo PMM / ELC-4 / Robonaut 2 (ISS)",ISS Assembly / Logistics,"Delivered Leonardo Permanent Multipurpose Module (permanently attached to ISS) and ExPRESS Logistics Carrier 4; Robonaut 2 humanoid robot; Discovery's 39th and final flight; 2 EVAs",Complete
134,STS-134,Endeavour,2011-05-16,2011-06-01,"15d 17h 38m",6,Mark Kelly,"AMS-02 / ELC-3 (ISS)",ISS Assembly / Science,"Installed Alpha Magnetic Spectrometer (AMS-02) — $2B cosmic ray particle physics experiment; ELC-3; 4 EVAs; Endeavour's 25th and final flight; commander Mark Kelly (husband of Gabby Giffords)",Complete
135,STS-135,Atlantis,2011-07-08,2011-07-21,"12d 18h 27m",4,Christopher Ferguson,"Raffaello MPLM / ISS logistics",ISS Logistics,"Final Space Shuttle mission; smallest crew since STS-6 (4 people); Raffaello MPLM delivered year's worth of supplies; Atlantis' 33rd and final flight; end of 30-year Space Shuttle program",Complete
